codigo_tabela,nome_tabela,senior_items,current_items,to_insert,to_update,to_delete
008,,0,0,0,0,0
023,SUP SAVEGNAGO,18,0,18,0,0
024,TABELA REDE DOR RJ,21,0,21,0,0
030,TABELA DE PREÇO GR S/A MATRIZ - SP,34,0,34,0,0
048,TABELA DE PREÇOS GRICK,41,0,41,0,0
115,TABELA DE PREÇOS WINDSOR RJ,10,0,10,0,0
201,TABELA DE PREÇOS RP E REGIÃO 01,139,139,1,0,1
201P,TABELA DE PREÇOS SEWAL ATÉ 30/06/26,138,138,0,5,0
202,TABELA DE PREÇOS RP E REGIÃO 02,126,125,1,7,0
203,TABELA DE PREÇOS RP E REGIÃO 03,80,0,80,0,0
205,TABELA DE PREÇOS DISTRIBUIDORES RETIRAR NA FABRICA,93,91,2,1,0
206,TABELA DE PREÇOS DISTRIBUIDORES ENTREGA,36,36,0,0,0
207,TABELA DE PREÇOS - DISTR. LOGICA POUSO ALEGRE MG,36,0,36,0,0
209,TABELA  DE PREÇOS SESIS,11,0,11,0,0
298,TABELA DE PREÇOS INST. RP E REGIÃO 298,50,0,50,0,0
299,TABELA DE PREÇOS INSTITUCIONAL RP E REGIÃO 99,22,0,22,0,0
401,TABELA DE PREÇOS RJ - 01,36,0,36,0,0
402,TABELA DE PREÇOS RJ - 02,36,0,36,0,0
403,TABELA DE PREÇOS RJ - 03,36,0,36,0,0
403B,TABELA DE PREÇOS RJ - 03B,11,0,11,0,0
501,TABELA DE PREÇOS BH 01,37,0,37,0,0
502,TABELA DE PREÇOS BH 02,37,0,37,0,0
505,TABELA DE PREÇOS BH 05 - DISTR. RETIRAR,36,0,36,0,0
598,TABELA DE PREÇOS INSTITUCIONAL BH 98,20,0,20,0,0
601,TABELA DE PREÇOS CURITIBA 01,36,0,36,0,0
602,TABELA DE PREÇOS CURITIBA 02,36,0,36,0,0
603,TABELA DE PREÇOS CURITIBA 03,36,0,36,0,0
604,TABELA DE PREÇOS DISTR. CURITIBA,38,0,38,0,0
607,TABELA DE PREÇOS DISTR. CURITIBA RETIRA,35,0,35,0,0
610,TABELA SODEXO CURITIBA,36,0,36,0,0
900,TABELA DE PREÇOS ES 900,37,0,37,0,0
A201,TABELA 01 RP - REDE ACCOR,84,0,84,0,0
A202,TABELA 2 RP - REDE ACCOR,121,0,121,0,0
A402,TABELA 02 RJ - REDE ACCOR,41,0,41,0,0
A403,TABELA 3 RJ - REDE ACCOR,43,0,43,0,0
A501,TABELA BH 01 - REDE ACCOR,36,0,36,0,0
A502,TABELA 02 BH - REDE ACCOR,37,0,37,0,0
A599,TABELA BH 99 - REDE ACCOR,22,0,22,0,0
A601,TABELA CURITIBA 1 - REDE ACCOR,42,0,42,0,0
A699,TABELA CURITIBA 99 - REDE ACCOR,42,0,42,0,0
AS01,TABELA SP 01 - REDE ACCOR,43,0,43,0,0
AS02,TABELA SP 02 - REDE ACCOR,43,0,43,0,0
MT01,TABELA DE PREÇOS COM. MT SJC (PADRÃO),36,0,36,0,0
S000,TABELA DE PREÇOS INSTITUCIONAL SP 00,40,0,40,0,0
S001,TABELA DE PREÇOS SUMARÉ 01,36,0,36,0,0
S002,TABELA DE PREÇOS SUMARÉ 02,37,0,37,0,0
S003,TABELA DE PREÇOS SUMARÉ 03,38,0,38,0,0
S008,TABELA DE PREÇOS ACCOR,34,0,34,0,0
S009,TABELA DE PREÇOS DALBEN,23,0,23,0,0
S013,TABELA DISTRIBUIDOR MACAMP CAMPINAS,35,0,35,0,0
S03B,TABELA DE PREÇOS SUMARÉ 03B,10,0,10,0,0
S201,TABELA DE PREÇOS THE LUCCA - SP,3,0,3,0,0
S998,TABELA DE PREÇOS INST. SP,21,0,21,0,0
S999,TABELA DE PREÇOS INSTITUCIONAL SP 99,37,0,37,0,0
S99B,TABELA 99 DE SP - ESPECIAL CHIENI,8,0,8,0,0
SARJ,TABELA SAPORE RJ (COMISSÃO REDUZIDA),35,0,35,0,0
SASP,TABELA SAPORE CONTRATO SP,40,0,40,0,0
